Strategy,Date,Price,Amount Invested,Units,Current Value,Running Total Investment,Running Corpus Value,Index,Year
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,70000,10554.841297701858,Nifty,2018
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,80000,12063.486574827644,Nifty,2018
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,90000,13572.131851953427,Nifty,2018
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,100000,15080.77712907921,Nifty,2018
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,110000,16589.422406204994,Nifty,2018
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,120000,18098.067683330777,Nifty,2018
DIP,2018-09-16,11143.1,10000,0.8974163383618562,1447.8017786791825,20000,3011.614912072937,Nifty,2018
DIP,2018-09-30,10316.45,10000,0.969325688584736,1563.8131333937545,10000,1563.8131333937545,Nifty,2018
SIP,2018-01-28,10760.6,10000,0.9293162091333197,1499.2658401947847,10000,1499.2658401947847,Nifty,2018
SIP,2018-02-25,10458.35,10000,0.9561737750218724,1542.5951512427866,20000,3041.8609914375716,Nifty,2018
SIP,2018-03-25,10113.7,10000,0.9887578235462787,1595.1629967272115,30000,4637.023988164783,Nifty,2018
SIP,2018-04-29,10618.25,10000,0.9417747745626633,1519.3652438019446,40000,6156.389231966728,Nifty,2018
SIP,2018-05-27,10696.2,10000,0.9349114638843701,1508.2926646846543,50000,7664.681896651382,Nifty,2018
SIP,2018-06-24,10714.3,10000,0.9333320888905482,1505.7446590071213,60000,9170.426555658503,Nifty,2018
SIP,2018-07-29,11360.8,10000,0.8802197028378284,1420.0584465882685,70000,10590.485002246773,Nifty,2018
SIP,2018-08-26,11680.5,10000,0.8561277342579513,1381.1908736783528,80000,11971.675875925124,Nifty,2018
SIP,2018-09-30,10316.45,10000,0.969325688584736,1563.8131333937545,90000,13535.48900931888,Nifty,2018
SIP,2018-10-28,10553.0,10000,0.947597839476926,1528.7595944281247,100000,15064.248603747003,Nifty,2018
SIP,2018-11-25,10876.75,10000,0.9193922817017951,1483.255568069506,110000,16547.50417181651,Nifty,2018
SIP,2018-12-30,10727.35,10000,0.9321966748544608,1503.9128955427016,120000,18051.417067359213,Nifty,2018
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,20000,2783.6392862478788,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,30000,4136.908589607356,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,40000,5490.177892966832,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,50000,6843.4471963263095,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,60000,8196.716499685786,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,70000,9549.985803045261,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,80000,10903.255106404738,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,90000,12256.524409764215,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,100000,13609.793713123692,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,110000,14963.063016483171,Nifty,2019
DEC_FILL,2019-12-01,11921.5,10000,0.8388206182107957,1353.2693033594767,120000,16316.332319842648,Nifty,2019
DIP,2019-05-05,11278.9,10000,0.8866112830151877,1430.3699828884023,10000,1430.3699828884023,Nifty,2019
SIP,2019-01-27,10893.65,10000,0.917965971001455,1480.9545010166473,10000,1480.9545010166473,Nifty,2019
SIP,2019-02-24,10863.5,10000,0.920513646614811,1485.0646660836746,20000,2966.019167100322,Nifty,2019
SIP,2019-03-31,11665.95,10000,0.8571955134386826,1382.9135218306267,30000,4348.932688930949,Nifty,2019
SIP,2019-04-28,11712.25,10000,0.8538069115669491,1377.446690430959,40000,5726.379379361908,Nifty,2019
SIP,2019-05-26,11922.8,10000,0.8387291575804342,1353.1217499245145,50000,7079.501129286422,Nifty,2019
SIP,2019-06-30,11811.15,10000,0.8466576074302672,1365.9127180672501,60000,8445.413847353673,Nifty,2019
SIP,2019-07-28,10997.35,10000,0.9093099701291675,1466.9897748093858,70000,9912.40362216306,Nifty,2019
SIP,2019-08-25,11023.25,10000,0.907173474247613,1463.5429660036739,80000,11375.946588166733,Nifty,2019
SIP,2019-09-29,11174.75,10000,0.8948746056958768,1443.701201369158,90000,12819.647789535891,Nifty,2019
SIP,2019-10-27,11890.6,10000,0.8410004541402452,1356.7860326644575,100000,14176.433822200348,Nifty,2019
SIP,2019-11-24,12056.05,10000,0.8294590682686287,1338.1663148377786,110000,15514.600137038125,Nifty,2019
SIP,2019-12-29,12226.65,10000,0.8178855205636867,1319.4947103253958,120000,16834.09484736352,Nifty,2019
DEC_FILL,2020-12-06,13513.85,10000,0.739981574458796,1193.8122740743754,70000,11298.836595299237,Nifty,2020
DEC_FILL,2020-12-06,13513.85,10000,0.739981574458796,1193.8122740743754,80000,12492.648869373614,Nifty,2020
DEC_FILL,2020-12-06,13513.85,10000,0.739981574458796,1193.8122740743754,90000,13686.461143447988,Nifty,2020
DEC_FILL,2020-12-06,13513.85,10000,0.739981574458796,1193.8122740743754,100000,14880.273417522363,Nifty,2020
DEC_FILL,2020-12-06,13513.85,10000,0.739981574458796,1193.8122740743754,110000,16074.085691596738,Nifty,2020
DEC_FILL,2020-12-06,13513.85,10000,0.739981574458796,1193.8122740743754,120000,17267.897965671113,Nifty,2020
DIP,2020-02-23,11201.75,10000,0.8927176557234361,1440.2213939786193,60000,10105.024321224862,Nifty,2020
DIP,2020-03-08,9955.2,10000,1.0045001607200257,1620.5601092896175,50000,8664.802927246243,Nifty,2020
DIP,2020-03-15,8745.45,10000,1.1434517377607785,1844.7306885294638,40000,7044.242817956625,Nifty,2020
DIP,2020-03-29,8083.8,10000,1.2370419852049779,1995.7198347311908,30000,5199.512129427161,Nifty,2020
DIP,2020-05-03,9251.5,10000,1.080905799059612,1743.825325622872,20000,3203.79229469597,Nifty,2020
DIP,2020-09-20,11050.25,10000,0.9049569014275695,1459.9669690730977,10000,1459.9669690730977,Nifty,2020
SIP,2020-01-26,11962.1,10000,0.8359736166726578,1348.6762357779987,10000,1348.6762357779987,Nifty,2020
SIP,2020-02-23,11201.75,10000,0.8927176557234361,1440.2213939786193,20000,2788.8976297566182,Nifty,2020
SIP,2020-03-29,8083.8,10000,1.2370419852049779,1995.7198347311908,30000,4784.617464487809,Nifty,2020
SIP,2020-04-26,9859.9,10000,1.0142090690574956,1636.2234911104576,40000,6420.840955598266,Nifty,2020
SIP,2020-05-31,10142.15,10000,0.9859842341120966,1590.6883648930454,50000,8011.5293204913105,Nifty,2020
SIP,2020-06-28,10607.35,10000,0.942742532300716,1520.9265273607452,60000,9532.455847852056,Nifty,2020
SIP,2020-07-26,11073.45,10000,0.9030609250053054,1456.9081903110591,70000,10989.364038163116,Nifty,2020
SIP,2020-08-30,11333.85,10000,0.882312718096675,1423.4351081053658,80000,12412.799146268482,Nifty,2020
SIP,2020-09-27,11416.95,10000,0.875890671326405,1413.074420050889,90000,13825.87356631937,Nifty,2020
SIP,2020-10-25,11642.4,10000,0.8589294303580018,1385.7108499965643,100000,15211.584416315933,Nifty,2020
SIP,2020-11-29,13258.55,10000,0.7542302891341813,1216.7997254601746,110000,16428.384141776107,Nifty,2020
SIP,2020-12-27,14018.5,10000,0.7133430823554588,1150.8363947640617,120000,17579.22053654017,Nifty,2020
DEC_FILL,2021-12-05,17511.3,10000,0.5710598299383827,921.2908236395928,40000,4162.44471005586,Nifty,2021
DEC_FILL,2021-12-05,17511.3,10000,0.5710598299383827,921.2908236395928,50000,5083.735533695453,Nifty,2021
DEC_FILL,2021-12-05,17511.3,10000,0.5710598299383827,921.2908236395928,60000,6005.026357335047,Nifty,2021
DEC_FILL,2021-12-05,17511.3,10000,0.5710598299383827,921.2908236395928,70000,6926.317180974639,Nifty,2021
DEC_FILL,2021-12-05,17511.3,10000,0.5710598299383827,921.2908236395928,80000,7847.608004614232,Nifty,2021
DEC_FILL,2021-12-05,17511.3,10000,0.5710598299383827,921.2908236395928,90000,8768.898828253825,Nifty,2021
DEC_FILL,2021-12-05,17511.3,10000,0.5710598299383827,921.2908236395928,100000,9690.189651893419,Nifty,2021
DEC_FILL,2021-12-05,17511.3,10000,0.5710598299383827,921.2908236395928,110000,10611.480475533011,Nifty,2021
DEC_FILL,2021-12-05,17511.3,10000,0.5710598299383827,921.2908236395928,120000,11532.771299172604,Nifty,2021
DIP,2021-01-24,13634.6,10000,0.7334281900459125,1183.2396990010707,30000,3241.153886416267,Nifty,2021
DIP,2021-02-21,14529.15,10000,0.6882715093450065,1110.388426026299,20000,2057.9141874151965,Nifty,2021
DIP,2021-11-21,17026.45,10000,0.587321490974337,947.5257613888978,10000,947.5257613888978,Nifty,2021
SIP,2021-01-31,14924.25,10000,0.6700504212942023,1080.9923446739365,10000,1080.9923446739365,Nifty,2021
SIP,2021-02-28,14938.1,10000,0.669429177740141,1079.9900924481694,20000,2160.982437122106,Nifty,2021
SIP,2021-03-28,14867.35,10000,0.6726148237581008,1085.129495168944,30000,3246.11193229105,Nifty,2021
SIP,2021-04-25,14631.1,10000,0.683475610172851,1102.6512018918604,40000,4348.76313418291,Nifty,2021
SIP,2021-05-30,15670.25,10000,0.6381519120626665,1029.5304797306999,50000,5378.29361391361,Nifty,2021
SIP,2021-06-27,15722.2,10000,0.6360433018279884,1026.1286588390938,60000,6404.422272752703,Nifty,2021
SIP,2021-07-25,15763.05,10000,0.6343949933547125,1023.4694427791577,70000,7427.891715531861,Nifty,2021
SIP,2021-08-29,17323.6,10000,0.5772472234408553,931.2729455771318,80000,8359.164661108993,Nifty,2021
SIP,2021-09-26,17532.05,10000,0.5703839539586073,920.2004329214211,90000,9279.365094030414,Nifty,2021
SIP,2021-10-31,17916.8,10000,0.5581353813180926,900.4398106804788,100000,10179.804904710893,Nifty,2021
SIP,2021-11-28,17196.7,10000,0.581506917024778,938.1451092360743,110000,11117.950013946967,Nifty,2021
SIP,2021-12-26,17354.05,10000,0.5762343660413564,929.6389027345202,120000,12047.588916681489,Nifty,2021
DEC_FILL,2022-12-04,18496.6,10000,0.540639901387282,872.214352908102,60000,5816.598675342171,Nifty,2022
DEC_FILL,2022-12-04,18496.6,10000,0.540639901387282,872.214352908102,70000,6688.813028250273,Nifty,2022
DEC_FILL,2022-12-04,18496.6,10000,0.540639901387282,872.214352908102,80000,7561.027381158375,Nifty,2022
DEC_FILL,2022-12-04,18496.6,10000,0.540639901387282,872.214352908102,90000,8433.241734066476,Nifty,2022
DEC_FILL,2022-12-04,18496.6,10000,0.540639901387282,872.214352908102,100000,9305.456086974578,Nifty,2022
DEC_FILL,2022-12-04,18496.6,10000,0.540639901387282,872.214352908102,110000,10177.67043988268,Nifty,2022
DEC_FILL,2022-12-04,18496.6,10000,0.540639901387282,872.214352908102,120000,11049.884792790781,Nifty,2022
DIP,2022-01-16,17617.15,10000,0.5676287027129814,915.7553860868528,50000,4944.38432243407,Nifty,2022
DIP,2022-02-20,16658.4,10000,0.6002977476828506,968.4603563367428,40000,4028.6289363472174,Nifty,2022
DIP,2022-05-01,16411.25,10000,0.6093381064818341,983.0451671871429,30000,3060.1685800104747,Nifty,2022
DIP,2022-05-08,15782.15,10000,0.6336272307638693,1022.2308113913502,20000,2077.1234128233314,Nifty,2022
DIP,2022-06-12,15293.5,10000,0.6538725602380097,1054.892601431981,10000,1054.892601431981,Nifty,2022
SIP,2022-01-30,17516.3,10000,0.570896821817393,921.027842638,10000,921.027842638,Nifty,2022
SIP,2022-02-27,16245.35,10000,0.6155607604637635,993.0841748561896,20000,1914.1120174941898,Nifty,2022
SIP,2022-03-27,17670.45,10000,0.5659165442872139,912.9931608985622,30000,2827.1051783927524,Nifty,2022
SIP,2022-04-24,17102.55,10000,0.5847081283200458,943.3096234187299,40000,3770.414801811482,Nifty,2022
SIP,2022-05-29,16584.3,10000,0.6029799267982369,972.7875159035955,50000,4743.202317715077,Nifty,2022
SIP,2022-06-26,15752.05,10000,0.63483800521202,1024.1841538085519,60000,5767.386471523629,Nifty,2022
SIP,2022-07-31,17397.5,10000,0.5747952291995977,927.3171432677109,70000,6694.70361479134,Nifty,2022
SIP,2022-08-28,17539.45,10000,0.5701433055198424,919.8121947951616,80000,7614.515809586502,Nifty,2022
SIP,2022-09-25,17094.35,10000,0.584988607346872,943.7621202327085,90000,8558.277929819209,Nifty,2022
SIP,2022-10-30,18117.15,10000,0.551963195094151,890.4822226453938,100000,9448.760152464603,Nifty,2022
SIP,2022-11-27,18696.1,10000,0.5348709089061355,862.9072373382685,110000,10311.667389802873,Nifty,2022
SIP,2022-12-25,18105.3,10000,0.5523244574793017,891.0650472513574,120000,11202.73243705423,Nifty,2022
DEC_FILL,2023-12-03,20969.4,10000,0.4768853662956498,769.3591614447719,10000,769.3591614447719,Nifty,2023
DEC_FILL,2023-12-03,20969.4,10000,0.4768853662956498,769.3591614447719,20000,1538.7183228895437,Nifty,2023
DEC_FILL,2023-12-03,20969.4,10000,0.4768853662956498,769.3591614447719,30000,2308.0774843343156,Nifty,2023
DEC_FILL,2023-12-03,20969.4,10000,0.4768853662956498,769.3591614447719,40000,3077.4366457790875,Nifty,2023
DEC_FILL,2023-12-03,20969.4,10000,0.4768853662956498,769.3591614447719,50000,3846.7958072238594,Nifty,2023
DEC_FILL,2023-12-03,20969.4,10000,0.4768853662956498,769.3591614447719,60000,4616.154968668631,Nifty,2023
