"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2017","28,176.15","27,837.40","28,199.75","27,734.45","392.99K","2.24%"
"24-09-2017","27,558.90","27,986.05","27,986.05","26,929.65","662.67K","-1.39%"
"17-09-2017","27,947.25","28,952.60","29,069.90","27,897.35","535.62K","-2.90%"
"10-09-2017","28,781.45","28,533.50","29,051.40","28,360.65","637.77K","1.42%"
"03-09-2017","28,377.15","28,353.25","28,688.70","27,875.60","507.41K","0.14%"
"27-08-2017","28,338.35","27,763.30","28,370.50","27,577.25","592.92K","2.38%"
"20-08-2017","27,679.20","27,743.95","27,842.10","27,006.60","420.69K","0.08%"
"13-08-2017","27,657.05","27,094.40","27,975.25","27,087.50","444.49K","2.91%"
"06-08-2017","26,873.85","28,186.75","28,601.55","26,343.45","681.24K","-4.43%"
"30-07-2017","28,119.10","27,853.15","28,195.40","27,630.60","637.36K","1.30%"
"23-07-2017","27,759.55","27,624.00","27,873.45","27,470.10","658.73K","0.56%"
"16-07-2017","27,605.40","27,439.75","27,695.25","27,243.35","605.88K","0.70%"
"09-07-2017","27,413.90","26,951.90","27,470.70","26,836.20","461.59K","2.02%"
"02-07-2017","26,872.40","26,340.75","26,948.40","26,290.15","543.31K","2.35%"
"25-06-2017","26,254.50","26,208.50","26,290.65","25,774.70","423.21K","0.37%"
"18-06-2017","26,157.90","26,644.55","26,819.55","26,031.55","449.58K","-1.48%"
"11-06-2017","26,550.00","26,609.35","26,704.65","26,389.80","515.77K","-0.21%"
"04-06-2017","26,606.40","26,355.15","26,624.55","26,178.70","573.73K","1.34%"
"28-05-2017","26,254.90","26,035.75","26,276.45","25,481.85","872.29K","1.05%"
"21-05-2017","25,983.30","26,282.60","26,369.20","25,030.75","759.49K","-0.44%"
"14-05-2017","26,099.30","26,831.85","27,031.65","25,846.85","746.58K","-2.34%"
"07-05-2017","26,725.20","26,226.95","26,947.35","26,171.10","662.08K","2.23%"
"30-04-2017","26,142.25","26,395.65","26,640.00","26,013.40","481.93K","-0.69%"
"23-04-2017","26,323.60","25,887.45","26,565.65","25,845.30","653.37K","1.85%"
"16-04-2017","25,845.65","25,910.35","26,017.15","25,494.90","693.48K","-0.10%"
"09-04-2017","25,872.45","25,618.05","26,008.70","25,559.85","550.20K","1.25%"
"02-04-2017","25,552.95","25,146.90","25,740.75","25,106.70","512.32K","1.73%"
"26-03-2017","25,119.45","24,819.10","25,161.70","24,678.90","639.98K","1.27%"
"19-03-2017","24,805.50","24,977.25","24,977.25","24,443.50","535.19K","-0.44%"
"12-03-2017","24,914.80","24,395.20","25,022.45","24,247.80","426.64K","3.63%"
